Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,179.9,-2.49,186.6,178.9,97941.0,17707.7,30/05/2022,Cierre
ACERINOX,11.945,-0.46,12.03,11.65,2482184.0,29542.92,30/05/2022,Cierre
ACS,26.69,0.34,26.86,26.55,468202.0,12486.01,30/05/2022,Cierre
AENA,141.9,-0.6,144.8,141.65,107022.0,15309.94,30/05/2022,Cierre
ALMIRALL,10.55,0.76,10.64,10.47,225914.0,2380.74,30/05/2022,Cierre
AMADEUS,60.64,0.5,61.6,60.14,493070.0,29988.47,30/05/2022,Cierre
ARCELORMIT,30.5,0.2,30.95,30.185,444157.0,13573.5,30/05/2022,Cierre
BSANTANDER,3.078,1.25,3.078,3.042,30528820.0,93636.48,30/05/2022,Cierre
BASABADELL,0.8416,1.84,0.8508,0.8294,32629350.0,27459.84,30/05/2022,Cierre
BANKINTER,5.968,-0.43,6.05,5.91,2841204.0,17038.78,30/05/2022,Cierre
BBVA,5.147,2.1,5.147,5.061,24778675.0,126775.95,30/05/2022,Cierre
CAIXABANK,3.403,1.16,3.416,3.364,13080467.0,44434.88,30/05/2022,Cierre
CELLNEX,42.28,-2.33,43.33,41.87,798593.0,33787.94,30/05/2022,Cierre
CIE AUTOMOT,23.58,0.6,23.62,23.08,263043.0,6171.21,30/05/2022,Cierre
ENAGAS,21.48,-1.1,21.89,21.39,692311.0,14895.4,30/05/2022,Cierre
ENDESA,20.78,-0.38,21.02,20.71,530198.0,11025.51,30/05/2022,Cierre
FERROVIAL,24.34,0.54,24.57,24.26,437435.0,10663.38,30/05/2022,Cierre
FLUIDRA,25.16,2.53,25.32,24.82,1391077.0,34669.28,30/05/2022,Cierre
GRIFOLS CLA,19.6,-1.26,20.28,19.41,721104.0,14207.96,30/05/2022,Cierre
IAG,1.5885,2.88,1.609,1.5645,22638145.0,36013.08,30/05/2022,Cierre
IBERDROLA,11.11,-1.72,11.33,11.05,10874382.0,120974.33,30/05/2022,Cierre
INDITEX,22.49,0.9,22.66,22.37,4443197.0,99983.61,30/05/2022,Cierre
INDRA A,10.25,0.29,10.41,10.14,491722.0,5044.04,30/05/2022,Cierre
INMCOLONIAL,7.785,-0.57,7.93,7.725,684487.0,5342.02,30/05/2022,Cierre
MAPFRE,1.753,-1.24,1.785,1.751,2629509.0,4630.06,30/05/2022,Cierre
MELIA HOTELS,7.45,2.62,7.59,7.34,708716.0,5304.88,30/05/2022,Cierre
MERLIN,10.64,0.0,10.8,10.61,456025.0,4866.19,30/05/2022,Cierre
NATURGY,28.4,0.07,28.61,27.98,222847.0,6311.19,30/05/2022,Cierre
PHARMA MAR,72.36,2.17,72.6,70.94,36234.0,2610.95,30/05/2022,Cierre
REC,19.19,-1.18,19.72,19.135,1102510.0,21194.7,30/05/2022,Cierre
REPSOL,14.845,-0.97,15.065,14.67,11107084.0,164554.1,30/05/2022,Cierre
ROVI,62.05,1.31,63.9,61.45,64218.0,3980.64,30/05/2022,Cierre
SIEMENS GAME,17.9,-0.22,17.95,17.85,2462994.0,44074.16,30/05/2022,Cierre
SOLARIA,21.96,-4.89,23.59,21.86,699395.0,15760.75,30/05/2022,Cierre
TELEFONICA,4.953,0.12,4.973,4.886,11962721.0,58825.0,30/05/2022,Cierre
